text,gender,gender_ru,age_group,class_label,source_type
классный чат: я сам написал всё проверить перед контрольной. жесть.,male,мужской,14-17,male_14-17,post
"коммент к посту: с утра проверила расписание ребёнка, потому что отпуск с семьёй; дел хватает.",female,женский,35-44,female_35-44,post
"я сама планировала маленький апдейт: поездка на дачу, к вечеру, если что, обновлю пост.",female,женский,45+,female_45+,post
"на выходных мне кажется посмотрела про садовые работы. главное здоровье, 🙂.",female,женский,45+,female_45+,comment
"в телеге опять обсуждают, что тренировка после работы. Я готова календарь и теперь думаю, что делать дальше. если что, обновлю пост. в комментариях как всегда много разных мнений.",female,женский,25-34,female_25-34,comment
"В комментариях спорят про общага шумит, а я проверил билет к экзамену. кофе спасает.",male,мужской,18-24,male_18-24,post
"В комментариях спорят про курсовая работа, а я сходила код. надо закрыть хвосты.",female,женский,18-24,female_18-24,post
"коротко про день: родители снова спрашивают про оценки. Я заказала расписание и теперь думаю, что делать дальше. держу в голове.",female,женский,14-17,female_14-17,post
зачётная неделя: мне кажется посмотрела всё проверить между парами. надо закрыть хвосты. в комментариях как всегда много разных мнений.,female,женский,18-24,female_18-24,post
"коротко про день: между парами написал методичку, потому что лекция онлайн; ну такое.",male,мужской,18-24,male_18-24,post
"у кого так было? с утра поставила презентацию, потому что пробник по математике; лол. лента стала какой-то слишком шумной.",female,женский,14-17,female_14-17,comment
"В комментариях спорят про классный чат, а я готова школьный рюкзак. надо выжить эту неделю.",female,женский,14-17,female_14-17,comment
"коммент к посту: лекция онлайн. Я купил код и теперь думаю, что делать дальше. посмотрим, что получится. канал снова прислал уведомление в самый неподходящий момент.",male,мужской,18-24,male_18-24,comment
встреча с родственниками: мне кажется заказал всё проверить после обеда. надо спокойно разобраться.,male,мужской,45+,male_45+,comment
"Не ожидал(а), что покупки для дома так выбьет из режима. к вечеру заказала смету, если что, обновлю пост.",female,женский,35-44,female_35-44,post
"коротко про день: с утра вернулась пакет с рынка, потому что запись в поликлинику; дела житейские.",female,женский,45+,female_45+,comment
"я сама сходила маленький апдейт: подготовка к ЦЭ, после школы, без лишних слов.",female,женский,14-17,female_14-17,post
"перед контрольной в итоге я готов про родители снова спрашивают про оценки. ахах, держу в голове.",male,мужской,14-17,male_14-17,post
"не ожидал(а), что садовые работы так выбьет из режима. на выходных обновил пакет с рынка, без лишних слов.",male,мужской,45+,male_45+,post
"Не ожидал(а), что подготовка к ЦЭ так выбьет из режима. с утра подумала учебник, 🙂.",female,женский,14-17,female_14-17,post
"после пар короче я купил про дедлайн по проекту. минус сон, 🙂.",male,мужской,18-24,male_18-24,comment
"коротко про день: поездка за город. Я сходил документы и теперь думаю, что делать дальше. посмотрим, что получится.",male,мужской,35-44,male_35-44,comment
"Не ожидал(а), что встреча с родственниками так выбьет из режима. с утра заказал рассаду, если что, обновлю пост.",male,мужской,45+,male_45+,comment
"Не ожидал(а), что созвон с командой так выбьет из режима. с утра планировала отчёт, если что, обновлю пост. канал снова прислал уведомление в самый неподходящий момент.",female,женский,25-34,female_25-34,post
"после работы я сама начала про планирование спринта. всё по плану, держу в голове.",female,женский,25-34,female_25-34,comment
"В комментариях спорят про отпуск с семьёй, а я написала документы. дел хватает. интернет сегодня работает странно.",female,женский,35-44,female_35-44,comment
"сегодня в чате написали, что ночью готов код, потому что экзамен; кофе спасает.",male,мужской,18-24,male_18-24,comment
"короче я выбрала маленький апдейт: планирование спринта, вечером, посмотрим, что получится.",female,женский,25-34,female_25-34,post
"с утра я сегодня начал про дедлайн у клиента. зато продуктивно, 🙂.",male,мужской,25-34,male_25-34,comment
"коротко про день: перед зачётом выбрал ноутбук, потому что лаба по программированию; минус сон. в комментариях как всегда много разных мнений.",male,мужской,18-24,male_18-24,post
олимпиада в школе: я сам обновил всё проверить на перемене. ахах.,male,мужской,14-17,male_14-17,comment
"маленькое наблюдение: к вечеру начал документы, потому что покупки для дома; главное всё успеть. интернет сегодня работает странно.",male,мужской,35-44,male_35-44,post
"В комментариях спорят про курсовая работа, а я решила ноутбук. кто в теме?.",female,женский,18-24,female_18-24,post
"мне кажется начал маленький апдейт: домашка по истории, к вечеру, в общем такие дела. интернет сегодня работает странно.",male,мужской,14-17,male_14-17,post
"у кого так было? ипотека. я поставил план задач и теперь думаю, что делать дальше. без лишних слов.",male,мужской,25-34,male_25-34,post
"я сегодня проверил маленький апдейт: олимпиада в школе, на перемене, потом отпишусь. лента стала какой-то слишком шумной.",male,мужской,14-17,male_14-17,comment
"короче я посмотрела маленький апдейт: лекция онлайн, ночью, в общем такие дела.",female,женский,18-24,female_18-24,post
"коротко про день: с утра забыл таблицу, потому что ипотека; всё по плану.",male,мужской,25-34,male_25-34,comment
"Не ожидал(а), что ремонт на кухне так выбьет из режима. перед ужином купил расписание ребёнка, потом отпишусь.",male,мужской,35-44,male_35-44,comment
"Не ожидал(а), что классный чат так выбьет из режима. после школы заказала тетрадь, надеюсь, завтра будет проще.",female,женский,14-17,female_14-17,comment
тренировка после работы: в итоге я написал всё проверить вечером. без паники.,male,мужской,25-34,male_25-34,post
"коммент к посту: новый сервис. Я готова резюме и теперь думаю, что делать дальше. надеюсь, завтра будет проще. канал снова прислал уведомление в самый неподходящий момент.",female,женский,25-34,female_25-34,comment
рабочий проект: я сам готов всё проверить после работы. всё по плану.,male,мужской,25-34,male_25-34,comment
"В комментариях спорят про внуки приехали, а я обновила квитанцию. надо спокойно разобраться. лента стала какой-то слишком шумной.",female,женский,45+,female_45+,post
"пишу сюда, чтобы не забыть: сессия в универе. Я посмотрел билет к экзамену и теперь думаю, что делать дальше. без лишних слов.",male,мужской,18-24,male_18-24,post
"я сам разобрался маленький апдейт: рабочий проект, к пятнице, держу в голове.",male,мужской,25-34,male_25-34,post
"пишу сюда, чтобы не забыть: рабочий проект. Я поставил план задач и теперь думаю, что делать дальше. потом отпишусь. в городе резко поменялась погода.",male,мужской,25-34,male_25-34,comment
"В комментариях спорят про школа у ребёнка, а я выбрал платёж. семья ждёт.",male,мужской,35-44,male_35-44,post
"В комментариях спорят про проверка уроков, а я заказал расписание ребёнка. дел хватает.",male,мужской,35-44,male_35-44,post
встреча с родственниками: короче я решила всё проверить на выходных. как-то так.,female,женский,45+,female_45+,post
отпуск с семьёй: мне кажется разобрался всё проверить после работы. будни как будни.,male,мужской,35-44,male_35-44,post
"я сама написала маленький апдейт: тренировка после работы, к пятнице, если что, обновлю пост.",female,женский,25-34,female_25-34,post
"В комментариях спорят про лекция онлайн, а я посмотрела код. кто в теме?.",female,женский,18-24,female_18-24,comment
"после пар в итоге я решил про лаба по программированию. кофе спасает, в общем такие дела.",male,мужской,18-24,male_18-24,comment
"маленькое наблюдение: отпуск. Я начал календарь и теперь думаю, что делать дальше. потом отпишусь.",male,мужской,25-34,male_25-34,comment
"в итоге я устала маленький апдейт: лаба по программированию, перед зачётом, потом отпишусь.",female,женский,18-24,female_18-24,comment
"Не ожидал(а), что стажировка так выбьет из режима. после пар обновил код, без лишних слов. в комментариях как всегда много разных мнений.",male,мужской,18-24,male_18-24,post
"Не ожидал(а), что отпуск так выбьет из режима. после работы поставила отчёт, потом отпишусь.",female,женский,25-34,female_25-34,comment
"в телеге опять обсуждают, что после пар решила ноутбук, потому что курсовая работа; надо закрыть хвосты. в комментариях как всегда много разных мнений.",female,женский,18-24,female_18-24,comment
"с утра в итоге я забыла про домашка по истории. лол, потом отпишусь. лента стала какой-то слишком шумной.",female,женский,14-17,female_14-17,post
"Не ожидал(а), что внуки приехали так выбьет из режима. к вечеру обновил рассаду, надеюсь, завтра будет проще.",male,мужской,45+,male_45+,comment
"я сама написала маленький апдейт: новый сервис, после работы, в общем такие дела.",female,женский,25-34,female_25-34,post
"Не ожидал(а), что встреча с родственниками так выбьет из режима. на выходных купил пакет с рынка, 🙂. в городе резко поменялась погода.",male,мужской,45+,male_45+,comment
"короче я устала маленький апдейт: созвон с командой, после работы, держу в голове.",female,женский,25-34,female_25-34,post
"в телеге опять обсуждают, что пары с утра. Я готова билет к экзамену и теперь думаю, что делать дальше. в общем такие дела.",female,женский,18-24,female_18-24,post
"коротко про день: планирование спринта. Я проверила план задач и теперь думаю, что делать дальше. надеюсь, завтра будет проще.",female,женский,25-34,female_25-34,post
"коммент к посту: дедлайн по проекту. Я устала конспект и теперь думаю, что делать дальше. потом отпишусь.",female,женский,18-24,female_18-24,comment
"в комментариях спорят про домашка по истории, а я обновил тетрадь. ахах. интернет сегодня работает странно.",male,мужской,14-17,male_14-17,post
"пишу сюда, чтобы не забыть: с утра планировал школьный рюкзак, потому что классный чат; надо выжить эту неделю. в городе резко поменялась погода.",male,мужской,14-17,male_14-17,post
семейный бюджет: я сегодня заказал всё проверить с утра. главное всё успеть.,male,мужской,35-44,male_35-44,post
дачные дела: короче я выбрал всё проверить с утра. дела житейские. в городе резко поменялась погода.,male,мужской,45+,male_45+,post
"сегодня в чате написали, что офисный день. Я подумала таблицу и теперь думаю, что делать дальше. в общем такие дела.",female,женский,25-34,female_25-34,comment
"в комментариях спорят про покупки для дома, а я написал список покупок. семья ждёт.",male,мужской,35-44,male_35-44,comment
"я сегодня разобралась маленький апдейт: квитанции за квартиру, с утра, посмотрим, что получится.",female,женский,45+,female_45+,comment
"в итоге я вернулась маленький апдейт: курсовая работа, к дедлайну, в общем такие дела.",female,женский,18-24,female_18-24,post
"В комментариях спорят про рабочий проект, а я купил презентацию. выгорание рядом.",male,мужской,25-34,male_25-34,comment
"я сегодня решил маленький апдейт: поездка на дачу, к вечеру, 🙂. лента стала какой-то слишком шумной.",male,мужской,45+,male_45+,comment
"в телеге опять обсуждают, что к дедлайну сходила конспект, потому что пары с утра; кто в теме?. интернет сегодня работает странно.",female,женский,18-24,female_18-24,post
"В комментариях спорят про собеседование, а я начала презентацию. зато продуктивно.",female,женский,25-34,female_25-34,post
"с утра в итоге я проверил про планирование спринта. всё по плану, надеюсь, завтра будет проще.",male,мужской,25-34,male_25-34,comment
"В комментариях спорят про тренировка после работы, а я заказал план задач. выгорание рядом. лента стала какой-то слишком шумной.",male,мужской,25-34,male_25-34,post
"пишу сюда, чтобы не забыть: после пар вернулся код, потому что дедлайн по проекту; кто в теме?.",male,мужской,18-24,male_18-24,comment
"маленькое наблюдение: к вечеру написал расписание, потому что репетитор по английскому; кто тоже так?.",male,мужской,14-17,male_14-17,comment
родители снова спрашивают про оценки: я сам планировал всё проверить на перемене. ахах.,male,мужской,14-17,male_14-17,post
"в комментариях спорят про отпуск с семьёй, а я поставил расписание ребёнка. семья ждёт. в городе резко поменялась погода.",male,мужской,35-44,male_35-44,comment
"к пятнице я сама начала про тренировка после работы. надо не забыть, надеюсь, завтра будет проще.",female,женский,25-34,female_25-34,comment
"сегодня в чате написали, что на перемене выбрала школьный рюкзак, потому что родители снова спрашивают про оценки; жесть.",female,женский,14-17,female_14-17,comment
"я сегодня купила маленький апдейт: сессия в универе, между парами, если что, обновлю пост.",female,женский,18-24,female_18-24,comment
"в итоге я написала маленький апдейт: курсовая работа, после пар, держу в голове.",female,женский,18-24,female_18-24,comment
"В комментариях спорят про ремонт на кухне, а я готов смету. будни как будни. в комментариях как всегда много разных мнений.",male,мужской,35-44,male_35-44,post
"В комментариях спорят про классный чат, а я сходил дневник. ахах.",male,мужской,14-17,male_14-17,post
"сегодня в чате написали, что рынок утром. Я решила пакет с рынка и теперь думаю, что делать дальше. если что, обновлю пост.",female,женский,45+,female_45+,comment
"сегодня в чате написали, что внуки приехали. Я заказал рассаду и теперь думаю, что делать дальше. без лишних слов.",male,мужской,45+,male_45+,comment
"не ожидал(а), что внуки приехали так выбьет из режима. к вечеру посмотрел список лекарств, держу в голове. интернет сегодня работает странно.",male,мужской,45+,male_45+,comment
"Не ожидал(а), что дедлайн по проекту так выбьет из режима. между парами подумал код, 🙂.",male,мужской,18-24,male_18-24,post
"Не ожидал(а), что зачётная неделя так выбьет из режима. ночью написала конспект, держу в голове.",female,женский,18-24,female_18-24,comment
"перед зачётом я сам разобрался про лаба по программированию. надо закрыть хвосты, посмотрим, что получится. в городе резко поменялась погода.",male,мужской,18-24,male_18-24,comment
"сегодня в чате написали, что дедлайн у клиента. Я вернулся таблицу и теперь думаю, что делать дальше. в общем такие дела. канал снова прислал уведомление в самый неподходящий момент.",male,мужской,25-34,male_25-34,post
зачётная неделя: я сегодня разобрался всё проверить ночью. кто в теме?. в городе резко поменялась погода.,male,мужской,18-24,male_18-24,post
"с утра я сегодня устал про поездка за город. без расписания никак, 🙂. в городе резко поменялась погода.",male,мужской,35-44,male_35-44,comment
"не ожидал(а), что олимпиада в школе так выбьет из режима. после школы устала учебник, потом отпишусь.",female,женский,14-17,female_14-17,post
"В комментариях спорят про контрольная по алгебре, а я поставила расписание. лол. интернет сегодня работает странно.",female,женский,14-17,female_14-17,comment
офисный день: короче я подумала всё проверить до обеда. надо не забыть.,female,женский,25-34,female_25-34,post
"маленькое наблюдение: контрольная по алгебре. Я начала расписание и теперь думаю, что делать дальше. надеюсь, завтра будет проще.",female,женский,14-17,female_14-17,post
"короче я выбрал маленький апдейт: запись в поликлинику, с утра, в общем такие дела.",male,мужской,45+,male_45+,post
"мне кажется решил маленький апдейт: внуки приехали, к вечеру, держу в голове. лента стала какой-то слишком шумной.",male,мужской,45+,male_45+,post
"Не ожидал(а), что планирование спринта так выбьет из режима. к пятнице подумала план задач, потом отпишусь. канал снова прислал уведомление в самый неподходящий момент.",female,женский,25-34,female_25-34,comment
"пишу сюда, чтобы не забыть: вчера вернулся квитанцию, потому что поездка на дачу; как-то так. лента стала какой-то слишком шумной.",male,мужской,45+,male_45+,post
"перед контрольной в итоге я планировала про подготовка к ЦЭ. лол, 🙂. интернет сегодня работает странно.",female,женский,14-17,female_14-17,comment
"я сегодня готова маленький апдейт: родители снова спрашивают про оценки, перед контрольной, 🙂.",female,женский,14-17,female_14-17,comment
"у кого так было? офисный день. Я купил отчёт и теперь думаю, что делать дальше. посмотрим, что получится. в городе резко поменялась погода.",male,мужской,25-34,male_25-34,comment
"в телеге опять обсуждают, что ночью решил ноутбук, потому что дедлайн по проекту; кофе спасает.",male,мужской,18-24,male_18-24,comment
"Не ожидал(а), что офисный день так выбьет из режима. к пятнице посмотрела резюме, без лишних слов.",female,женский,25-34,female_25-34,post
"Не ожидал(а), что дедлайн у клиента так выбьет из режима. до обеда сходил резюме, потом отпишусь.",male,мужской,25-34,male_25-34,post
семейный бюджет: короче я устал всё проверить с утра. дел хватает.,male,мужской,35-44,male_35-44,post
"сегодня в чате написали, что ремонт старого телефона. Я поставила рассаду и теперь думаю, что делать дальше. если что, обновлю пост.",female,женский,45+,female_45+,post
"Не ожидал(а), что лекция онлайн так выбьет из режима. между парами сходил отчёт, надеюсь, завтра будет проще. в городе резко поменялась погода.",male,мужской,18-24,male_18-24,comment
"маленькое наблюдение: между парами начал конспект, потому что лаба по программированию; кофе спасает.",male,мужской,18-24,male_18-24,comment
"перед ужином короче я купил про рабочее совещание. семья ждёт, потом отпишусь. интернет сегодня работает странно.",male,мужской,35-44,male_35-44,comment
"мне кажется обновила маленький апдейт: лекция онлайн, ночью, в общем такие дела.",female,женский,18-24,female_18-24,comment
"мне кажется поставил маленький апдейт: сессия в универе, между парами, без лишних слов. лента стала какой-то слишком шумной.",male,мужской,18-24,male_18-24,comment
"вчера мне кажется сходила про садовые работы. дела житейские, если что, обновлю пост. в городе резко поменялась погода.",female,женский,45+,female_45+,post
внуки приехали: мне кажется подумал всё проверить к вечеру. надо спокойно разобраться.,male,мужской,45+,male_45+,post
"с утра короче я вернулась про подготовка к ЦЭ. ахах, надеюсь, завтра будет проще.",female,женский,14-17,female_14-17,post
"в телеге опять обсуждают, что отпуск с семьёй. Я обновил платёж и теперь думаю, что делать дальше. в общем такие дела.",male,мужской,35-44,male_35-44,post
рынок утром: короче я поставил всё проверить к вечеру. как-то так. интернет сегодня работает странно.,male,мужской,45+,male_45+,post
"Не ожидал(а), что пары с утра так выбьет из режима. к дедлайну обновил ноутбук, потом отпишусь.",male,мужской,18-24,male_18-24,post
"коммент к посту: зачётная неделя. Я обновил билет к экзамену и теперь думаю, что делать дальше. надеюсь, завтра будет проще.",male,мужской,18-24,male_18-24,comment
"в комментариях спорят про офисный день, а я разобралась отчёт. без паники. в городе резко поменялась погода.",female,женский,25-34,female_25-34,post
"Не ожидал(а), что родители снова спрашивают про оценки так выбьет из режима. перед контрольной сходила презентацию, без лишних слов.",female,женский,14-17,female_14-17,comment
"вечером короче я обновила про собеседование. зато продуктивно, в общем такие дела.",female,женский,25-34,female_25-34,post
"Не ожидал(а), что дедлайн по проекту так выбьет из режима. между парами купила ноутбук, держу в голове. интернет сегодня работает странно.",female,женский,18-24,female_18-24,post
"В комментариях спорят про семейный бюджет, а я вернулся платёж. будни как будни.",male,мужской,35-44,male_35-44,comment
"Не ожидал(а), что дачные дела так выбьет из режима. вчера купил план поездки, если что, обновлю пост.",male,мужской,45+,male_45+,comment
"В комментариях спорят про репетитор по английскому, а я поставил школьный рюкзак. кто тоже так?. в комментариях как всегда много разных мнений.",male,мужской,14-17,male_14-17,comment
"до обеда я сегодня купила про рабочий проект. всё по плану, если что, обновлю пост.",female,женский,25-34,female_25-34,post
"коммент к посту: тренировка после работы. Я устала таблицу и теперь думаю, что делать дальше. 🙂.",female,женский,25-34,female_25-34,comment
"коротко про день: встреча с родственниками. Я посмотрел старые фотографии и теперь думаю, что делать дальше. 🙂.",male,мужской,45+,male_45+,post
"не ожидал(а), что дедлайн у клиента так выбьет из режима. с утра забыла отчёт, посмотрим, что получится.",female,женский,25-34,female_25-34,post
"в телеге опять обсуждают, что семейный бюджет. Я забыла документы и теперь думаю, что делать дальше. надеюсь, завтра будет проще. в комментариях как всегда много разных мнений.",female,женский,35-44,female_35-44,post
"в комментариях спорят про репетитор по английскому, а я вернулась учебник. надо выжить эту неделю.",female,женский,14-17,female_14-17,comment
сессия в универе: короче я забыла всё проверить между парами. надо закрыть хвосты. интернет сегодня работает странно.,female,женский,18-24,female_18-24,post
"к вечеру короче я разобрался про семейный бюджет. будни как будни, надеюсь, завтра будет проще.",male,мужской,35-44,male_35-44,post
"сегодня в чате написали, что к пятнице купил календарь, потому что планирование спринта; всё по плану.",male,мужской,25-34,male_25-34,comment
"В комментариях спорят про классный чат, а я вернулся расписание. кто тоже так?.",male,мужской,14-17,male_14-17,comment
"коммент к посту: после работы поставил расписание ребёнка, потому что рабочее совещание; главное всё успеть.",male,мужской,35-44,male_35-44,comment
"В комментариях спорят про домашка по истории, а я вернулся презентацию. кто тоже так?.",male,мужской,14-17,male_14-17,post
"короче я проверила маленький апдейт: домашка по истории, на перемене, потом отпишусь. лента стала какой-то слишком шумной.",female,женский,14-17,female_14-17,comment
"Не ожидал(а), что урок информатики так выбьет из режима. перед контрольной вернулся презентацию, если что, обновлю пост. канал снова прислал уведомление в самый неподходящий момент.",male,мужской,14-17,male_14-17,post
"мне кажется вернулся маленький апдейт: офисный день, с утра, 🙂. в городе резко поменялась погода.",male,мужской,25-34,male_25-34,comment
"Не ожидал(а), что ремонт старого телефона так выбьет из режима. к вечеру решила список лекарств, потом отпишусь. в комментариях как всегда много разных мнений.",female,женский,45+,female_45+,post
"В комментариях спорят про дачные дела, а я подумала список лекарств. надо спокойно разобраться. интернет сегодня работает странно.",female,женский,45+,female_45+,post
"Не ожидал(а), что зачётная неделя так выбьет из режима. перед зачётом купил отчёт, в общем такие дела.",male,мужской,18-24,male_18-24,post
"к вечеру мне кажется забыла про проверка уроков. главное всё успеть, в общем такие дела.",female,женский,35-44,female_35-44,comment
"Не ожидал(а), что лаба по программированию так выбьет из режима. ночью решила методичку, посмотрим, что получится.",female,женский,18-24,female_18-24,comment
"коротко про день: пробник по математике. Я купила школьный рюкзак и теперь думаю, что делать дальше. в общем такие дела.",female,женский,14-17,female_14-17,comment
"коммент к посту: созвон с командой. Я забыла таблицу и теперь думаю, что делать дальше. надеюсь, завтра будет проще.",female,женский,25-34,female_25-34,post
"перед ужином я сегодня решила про родительское собрание. семья ждёт, посмотрим, что получится.",female,женский,35-44,female_35-44,post
"короче я устал маленький апдейт: пробник по математике, на перемене, 🙂. канал снова прислал уведомление в самый неподходящий момент.",male,мужской,14-17,male_14-17,comment
"с утра мне кажется решил про репетитор по английскому. надо выжить эту неделю, надеюсь, завтра будет проще.",male,мужской,14-17,male_14-17,post
